Üst Parça (Parent);Alt Parça (Child);Miktar;uretim_sekli;malzeme;malzeme_ebat;alt_kod;revizyon;tarih
M2MTAN01;M1MGRN05;1;Off the shelf (Hazır);N/A;N/A;N/A;01;1.01.2021
M2MTAN01;M1BBRN03;1;Off the shelf (Hazır);N/A;N/A;N/A;01;1.01.2021
M2MTAN01;DIN912;4;;;;;01;1.01.2021
M2MTAN01;M3MTPB03;1;Cataphoresis (Kataforez);N/A;N/A;M3MTMN03;01;1.01.2021
M3MTPB03;M3MTMN03;1;Milling (Freze);Aluminium 7075 T6;N/A;M3MTTN02;02;15.12.2021
M3MTMN03;M3MTTN02;1;Lathe (Torna);Aluminium 7075 T6;Ø38 x 355mm;RAC7K038;02;22.11.2021
M2MTAN01;M3PNMN01;1;Milling (Freze);EN 1.4057 - AISI 431;N/A;M3PNTN10;01;1.01.2021
M3PNMN01;M3PNTN10;1;Lathe (Torna);EN 1.4057 - AISI 431;Ø18 x 75mm;RSCOB018;01;1.01.2021
M2MTAN01;DIN7991;3;;;;;01;1.01.2021
M2MTAN01;DIN912;2;;;;;01;1.01.2021
M2MTAN01;DIN934;1;;;;;01;1.01.2021
M2MTAN01;M3MTTN08;1;Lathe (Torna);EN 1.4305 - AISI 303;Ø18 x 12mm;RSCNB018;01;1.01.2021
M2MTAN01;DIN472;1;;;;;01;1.01.2021
M2MTAN01;M3MTPB01;1;Cataphoresis (Kataforez);N/A;N/A;M2MTWN01;01;1.01.2021
M3MTPB01;M2MTWN01;1;Welding (Kaynak);N/A;N/A;N/A;01;1.01.2021
M2MTWN01;M3MTMN02;1;Milling (Freze);EN 1.4301 - AISI 304;N/A;M3MTTN01;01;1.01.2021
M3MTMN02;M3MTTN01;1;Lathe (Torna);EN 1.4301 - AISI 304;Ø48.3x5 x 320mm;RSBNB048;02;1.10.2021
M2MTWN01;M3MTMN01;1;Milling (Freze);EN 1.4301 - AISI 304;30x70 x 125mm;RSLNK370;02;1.10.2021
M2MTAN01;M3MTPB02;1;Cataphoresis (Kataforez);N/A;N/A;M3MTMN09;01;1.01.2021
M3MTPB02;M3MTMN09;1;Milling (Freze);St37;N/A;M3MTLN01;01;1.01.2021
M3MTMN09;M3MTLN01;1;Laser Cut (Lazer);St37;N/A;N/A;01;1.01.2021
M2MTAN01;DIN472;1;;;;;01;1.01.2021
M2MTAN01;M3MTPB04;1;Cataphoresis (Kataforez);N/A;N/A;M3MTMN04;01;1.01.2021
M3MTPB04;M3MTMN04;1;Milling (Freze);SAE 1040 Cold Drawn;60x65 x 125mm;RCLNK665;02;1.10.2021
M2MTAN01;E2MTAN05;1;Assembly (Montaj);N/A;N/A;N/A;01;1.01.2021
E2MTAN05;DIN7380;3;;;;;01;1.01.2021
E2MTAN05;E3PCM206;1;Off the shelf (Hazır);N/A;N/A;N/A;01;1.01.2021
E2MTAN05;M3MTPB05;1;Cataphoresis (Kataforez);N/A;N/A;M3MTMN05;01;1.01.2021
